,Créateur/auteur : Nom et informations,Catégorie Créateur/auteur,Genre de l'host,NOM DE L'HOST
1559,"Fernand DERROUSSEN, naturaliste sonore",professionnel secteur,AD,AD
1560,AD,AD,AD,AD
1561,AD,Journaliste,F,AD
1562,"Zazie et David, animateurs radio",Journaliste,H+F,Zazie et David
1563,"Hervé PALMIERIE, cuisinier, Michel CYMES, médecin, animateur",professionnel secteur,H,"Hervé PALMIERE, Michel CYMES"
1564,4 journalistes de La Voix du Nord et de 20 Minutes,Journaliste,H,Sébastien Boey
1565,nsp,nsp,H+F,AD
1566,AD,AD,AD,AD
1567,journalistes de la rédaction,Rédaction,F,Clémence LECART
1568,nsp,nsp,AD,AD
1569,"Ingrid LUQUET-GAD, critique d'art",professionnel secteur,F,Ingrid LUQUET-GAD
1570,"Pierre Dorian, Fred Weis, Stephen Brun",Journaliste,H,"Pierre Dorian, Fred Weis, Stephen Brun"
1571,AD,AD,AD,AD
1572,"Charlotte NAMURA, Saïd AMDAA, journalistes",Journaliste,AD,AD
1573,"Marina ROLLMAN, humoriste, comédienne",Artiste,AD,AD
1574,Bastien Bocquel,Journaliste,H,Bastien Bocquel
1575,rédaction,Rédaction,F,Multiples
1576,nsp,nsp,AD,AD
1577,AD,AD,AD,AD
1578,"Isabelle RIGAUD, diététicienne nutritionniste, spécialiste prévention santé",professionnel secteur,AD,AD
1579,"Walid BERRISSOUL, journaliste C dans l'air, Cécile AMAR, journaliste l'Obs",Journaliste,AD,AD
1580,Isabelle et Claire,NSP,AD,AD
1581,"Caroline LEE, ? Leslie TALAGA, traductrice",NSP,F,"Caroline LEE, Leslie TALAGA"
1582,"Marion ARMENGOD, fondatrice Make some Noise, journaliste",Journaliste,AD,AD
1583,Grégoire Belhoste,Journaliste,H,Grégoire Belhoste
1584,Marie Amélie Druesne,cheffe service digital femmes actuelles,F,Marie Amélie Druesne
1585,"Rémy ROCHON, directeur associé, Supernatifs",professionnel secteur,AD,AD
1586,Pierre ?,Rédaction,H,Pierre
1587,Antoine Molkhou & Julien Veniel,auteur/réalisateur,H,Antoine Molkhou & Julien Veniel
1588,Agathe Le Taillandier (animation,Journaliste,AD,AD
1589,"Lorenzo CALLIGAROT (animation), journaliste Télé 7 jours",Journaliste,AD,AD
1590,AD,AD,AD,AD
1591,Marie-Amélie DRUESNE,Journaliste,AD,AD
1592,"Camille SANSON (animation), journaliste télé 7 jours",Journaliste,AD,AD
1593,AD,AD,AD,AD
1594,nsp,NSP,AD,AD
1595,rédaction,Rédaction,H,Anthony GUILLE
1596,"Julien COURBET, journaliste",Journaliste,AD,AD
1597,membres du label,Studio de podcast,AD,AD
1598,rédaction,Rédaction,F,Blandine PIED
1599,"Phillipe PUJOL, Anne-Sophie LE BON, journalistes",Journaliste,AD,AD
1600,rédaction,Rédaction,H,Yohann LEMORE
1601,"Manon DESMELIE, journal des FLandres",Journaliste,F,Manon DESMELIE
1602,AD,AD,AD,AD
1603,Paloma Moritz,Journaliste,F,Paloma Moritz
1604,"Monsieur POULPE, animateur, Renée GREUSARD, journaliste",Journaliste,AD,AD
1605,rédaction,Rédaction,AD,AD
1606,rédaction,Rédaction,AD,AD
1607,"Anthony VINCENT, journaliste Mademoizelle",Journaliste,AD,AD
1608,rédaction,Rédaction,F,Margot DASQUE
1609,"Saskia DE VILLE, musicologue, journaliste, productrice",Journaliste,AD,AD
1610,nsp,NSP,AD,AD
1611,rédaction,Rédaction,AD,AD
1612,rédaction,Rédaction,H,AD
1613,Nicolas BEAUBOIS,Journaliste,H,Nicolas BEAUBOIS
1614,"Naya ALI, rappeuse, Rosa BURZSTEIN, comédienne, Laetitia REBOULLEAU, réadac chef agence de presse LR média, journalsite, Elvire DUVELLE-CHARLES, journaliste, réalisatrice, activiste, Chloé LEMN, Manon DELCOURT, Clarisse, Léa, Manon",Autres,AD,AD
1615,"Rémy BUISINE, vidéaste journaliste Brut,  Camille COURCY, journaliste, documentariste, Yagmur CENGIZ, reporter Brut, Charles VILLA, reporter Brut",Journaliste,AD,AD
1616,"Conception et coordination : Romain GOULOUMÈS / 20 Minutes ; Préparation, animation : Pauline Grisonni",Journaliste,AD,AD
1617,rédaction sportive,Rédaction,H,AD
1618,"Marine Vlahovic journaliste ""autrice et reporter tout terrain"" (twitter)",auteur/réalisateur,H+F,AD
1619,AD,AD,H,AD
1620,nsp,NSP,AD,AD
1621,"René FRYDMAN, gynécoloque, Julien LE BOT, journaliste, auteur-réalisateur",Journaliste,AD,AD
1622,rédaction,Rédaction,F,Audrey SAVOURIN
1623,"Antoine DECAUNES, comédien, animateur",Artiste,AD,AD
1624,Natoo,Artiste,AD,AD
1625,Gilles Bouleau,journaliste,H,Gilles Bouleau
1626,"Anne Millet (conseillère en stratégie éditoriale, créatrice de podcast), Olivia Maincent (journaliste-rédactrice), Vanessa Lambert (journaliste ex Ouest France)",Journaliste,F,AD
1627,"Philippe BLOCH, animateur",Autres,AD,AD
1628,"Sophie COSTE, animatrice",Journaliste,F,Sophie COSTE
1629,"Adèle Humbert, Emilie Denètre et Eva Goron.",Studio de podcast,F,AD
1630,élèves de la filière Info/Com du lycée Baudimont d'Arras,étudiant.e.s,H,AD
1631,rédaction,Rédaction,AD,AD
1632,"Stéphanie LOIRE, journaliste, aureure",Journaliste,H,Stephanie LOIRE
1633,La rédaction des sports de 20 minutes,Rédaction,AD,AD
1634,"Matthieu DEPRIECK, journaliste",Journaliste,H,MAtthieu DEPRIECK
1635,"Xavier YVON, journaliste",Journaliste,H,Xavier YVON
1636,rédaction,Rédaction,AD,AD
1637,"Damien JODEAU, ancien arbitre",professionnel secteur,AD,AD
1638, Jeanne Robet,auteur/réalisateur,F, Jeanne Robet
1639,"Marie PERRIN, chroniqueuse judiciaire",Journaliste,F,Marie PERRIN
1640,"Simon VANDENDYCK, développeur, podcasteur, photographe",auteur/réalisateur,AD,AD
1641,"Louis DURUFLé, co fondateur studio flamboyances",Studio de podcast,H,Louis DURUFLé
1642,Vanessa LAMBERT,Journaliste,AD,AD
1643,"Luc LE GONIDEC,  Rédacteur Chef, monteur son, Host Podcast cinéma ""Retour vers le Turfu"" ""#Shitlist"" et du podcast série ""Le Début de la Fin"" ",Studio de podcast,AD,AD
1644,AD,AD,AD,AD
1645,rédaction,Rédaction,AD,AD
1646,Guillaume Aubert,Journaliste,H,Guillaume Aubert
1647,"Cléa CHAKRAVERTY, cheffe de rubrique politique et société, the conversation (animation et conception)",Journaliste,AD,AD
1648,rédaction,Rédaction,AD,AD
1649,Éloïse Monziès,professionnel secteur,F,Éloïse Monziès
1650,"réalisé par François-Charles Domergue, coécrit par Elodie Ratsimbazafy, photographe, et Joséfa Lopez, Cheffe adjointe du service ""Evénementiel et partenariats éditoriaux"" · Le Monde produit par Joséfa Lopez pour Le Monde et Wave. audio. ",Journaliste,F,Julie GAYET
1651,"Marine TESSE, journaliste",Journaliste,AD,AD
1652,AD,AD,AD,AD
1653,Jérémi Nureni Banafunzi,auteur/réalisateur,H,Jérémi Nureni Banafunzi
1654,"Philippe SANDS, avocat",Autres,AD,AD
1655,nsp,NSP,AD,AD
1656,nsp,NSP,AD,AD
1657,rédaction,Rédaction,H,Multiples
1658,"Carole SERRAT, sophorologue",professionnel secteur,F,Carole SERRAT
1659,Pierrick GEAIS,Journaliste,H,Pierrick GEAIS
1660,nsp,NSP,F,AD
1661,"Anouk Cezilly,  Sarah Petitbon",NSP,AD,AD
1662,nsp,NSP,AD,AD
1663,nsp,nsp,AD,AD
1664,rédaction,Rédaction,H,Guillaume MASEO
1665,rédaction,Rédaction,AD,AD
1666,rédaction,Rédaction,F,AD
1667,"Anna MOUGLALIS, comédienne",Artiste,F,Anna MOUGLALIS
1668,"Anouk CEZILLY, productrice, audiovisuel",Autres,AD,AD
1669,nsp,Studio de podcast,AD,AD
1670,rédaction,Rédaction,AD,AD
1671,"Léopoldine DUFOUR (narration), journaliste, Régis TAILLANDIER (auteur, réalisateur), chef op son Radio France",Rédaction,AD,AD
1672,"nsp, marque?",NSP,AD,AD
1673,journalistes de la rédaction,Rédaction,F,Annabelle ROLNIN
1674,rédaction,Rédaction,F,Anabelle Rolnin
1675,"Emmanuel DUEZ, fondatrice organisation pour l'entreprenariat humaniste...",professionnel secteur,AD,AD
1676,Alix et Camille,NSP,AD,AD
1677,"Sophie CARBONNEL, journaliste spécialisée faits divers, agende de La Rochelle",Journaliste,F,Sophie CARBONNEL
1678,rédaction,Rédaction,F,AD
1679,Arnaud Poivre d'Arvor,Journaliste,H,Arnaud Poivre d'Arvor
1680,nsp,NSP,F,AD
1681,"Sébastien COUASNON, journaliste",Journaliste,AD,AD
1682,nsp,NSP,AD,AD
1683,AD,AD,AD,AD
1684,"Philippe BOURBEILLON, journaliste",Journaliste,H,Philippe BOURBEILLON
1685,rédaction,Rédaction,AD,AD
1686,Soumaya Benaissa.,Journaliste,F,Soumaya Benaissa.
1687,"Romain CAPDEPON, journaliste police/justice, La Provence",Journaliste,H,Romain CADEPON
1688,nsp,Studio de podcast,AD,AD
1689, Jean-Pierre Delor,Journaliste,H, Jean-Pierre Delor
1690,Paul Bertiaux,auteur/réalisateur,F,Bénédicte Huberson
1691,rédaction,Rédaction,AD,AD
1692,rédaction,Rédaction,H,Multiples
1693,"François VERMOREL (texte), auteur, Françoise CADOL (interprétation), comédienne",Studio de podcast,AD,AD
1694,nsp,Studio de podcast,AD,AD
1695,"Leila DAVAUD, Yoram MELLOUL, journalistes NIceMatin",Journaliste,H+F,"Leila DAVAUD, Yoram MELLOUL"
1696,"Jean-Marie RUSSE, référent technique, Républicain Lorrain",Autres,H,Jean-Marie RUSSE
1697,"Bruno FAURE, journaliste",Journaliste,AD,AD
1698,nsp,NSP,AD,AD
1699,"Jean-Alalin VERLARDO (présentation), comédien",Studio de podcast,AD,AD
1700,rédaction,Rédaction,AD,AD
1701,rédaction,Rédaction,AD,AD
1702,"Jean BERTHELOT DE LA GLETAIS, Anne-Charlotte DE LANGHE, Mathilde LOEUILLE, Marion RUAUD, Gabriel TAÏEB, journalistes",Journaliste,AD,AD
1703,rédaction,Rédaction,AD,AD
1704,"Céline ASSELOT, journaliste",Journaliste,AD,AD
1705,"journalistes de la rédaction ""Nos spécialistes""",Rédaction,H,AD
1706,"Emilia, journaliste",Journaliste,AD,AD
1707,rédaction,Rédaction,AD,AD
1708,Sarah Conan et Maud Ventura,Journaliste,F,AD
1709,"Carole VEGA, journaliste",Journaliste,AD,AD
1710,"Sundy JULES, youtubeur Bilal HASSANI, artiste, Sulivan GWED, influenceur, SparkDise, influenceur, et Wesley KRID, influenceur",Autres,AD,AD
1711,"Manon BRIL, historienne et vidéaste, Alex RAMIRÈS, comédien",Artiste,AD,AD
1712,"Nikos ALIAGAS, animateur",Autres,AD,AD
1713,"Bruno DAVID, naturaliste",professionnel secteur,AD,AD
1714,AD,AD,AD,AD
1715,"Jean BERTHELOT DE LA GLETAIS, Anne-Charlotte DE LANGHE, Mathilde LOEUILLE, Marion RUAUD, Gabriel TAÏEB, journalistes et des étudiants",Journaliste,AD,AD
1716,Pauline Roux,Journaliste,F,Pauline Roux
1717,Camille Juzeau autrice et réalisatrice radio et podcast,auteur/réalisateur,F,AD
1718,"Maxime SWITEK, Alain DUHAMEL, journalistes",Journaliste,AD,AD
1719,rédaction,Rédaction,H,AD
1720,AD,AD,AD,AD
1721,Johan Chiaramonte,auteur/réalisateur,H,Johan Chiaramonte
1722,Denis Robert,Journaliste,H,Denis Robert
1723,"Jean-Baptiste DROUET, rédac chef France dimanche",Journaliste,AD,AD
1724,Anais Therond,AD,F,Anais Therond
1725,"Phillipe CORBÉ, chef service politique BFM",Journaliste,AD,AD
1726,"Pascale Robert-Diard, chroniqueuse judiciaire",Journaliste,F,Pascale ROBERT-DIARD
1727,"Jamy, animateur",Journaliste,AD,AD
1728,rédaction,Rédaction,AD,AD
1729,Marine Baousson,Journaliste,F,Marine Baousson
1730,"Rachel TREVES, psychologue, clinicienne",professionnel secteur,AD,AD
1731,"Pauline Lambert, animatrice à Radio Classique et Christophe Rousset, claveciniste",Journaliste,H+F,"Pauline Lambert, animatrice à Radio Classique et Christophe Rousset, claveciniste"
1732,"Ghita TAGHI, journaliste",Journaliste,AD,AD
1733,"Adèle Ponticelli (production), Jeanne Boëzec (production,  Quentin Tenaud (réalisation), Jean-Guillaume Santi (présentation), Morgane Tual (production et présentation), Amandine Robillard (réalisation) ; Garance Muñoz (production) ; Cyrielle Bedu (production)",Rédaction,F,Morgane TUAL
1734,"Antoine BOYER, journaliste AFP, Sarah-Lou LEPERS, journaliste audio AFP",Journaliste,AD,AD
1735,"Matilde MESLIN, responsable Slate audio et spécialiste podcasts",Journaliste,AD,AD
1736,"Louis DURUFLÉ, cofondateur studio FLamboyances",Studio de podcast,AD,AD
1737,rédaction,Rédaction,AD,AD
1738,"Anna Sylvestre-Treiner, Carole Lembezat, Flora Trouilloud, Virginie Lepetit, Thomas Hofnung, Antoine Dabrowski, Pascale Boyen, Joffrey Ricome et Claire Carrard.",Journaliste,AD,AD
1739,AD,AD,AD,AD
1740,"Quentin BRUNEL, membre TMLI",professionnel secteur,AD,AD
1741,rédaction,Journaliste,F,AD
1742,Pierre d’Almeida ,Journaliste,H,Pierre d’Almeida 
1743,"Caroline HALAZY, journaliste, Charlotte LE BON, comédienne, animatrice",Journaliste,AD,AD
1744,nsp,NSP,AD,AD
1745,"Pénélope BOEUF, fondatrice studio la toile sur écoute",auteur/réalisateur,AD,AD
1746,Géraldine Sarratia (production) ; Diane Lisarelle ; Mélissa Phulpin ; Guilaume Girauls (réalisation) ; Emmanuel Baux (réalisation) ; ,Studio de podcast,F,Géraldine SARRATIA
1747,rédaction,Rédaction,H,AD
1748,"Christelle CHIROUX, médiatrice de l'information lci",Journaliste,AD,AD
1749,"nsp, marque?",NSP,AD,AD
1750,Oxmo Puccino,auteur/réalisateur,H,AD
1751,"Sarah TREILLE STEFANI, professeure d'arts dramatiques, créatrice dep odcasts, Margaux REVOLLET",auteur/réalisateur,AD,AD
1752,AD,AD,AD,AD
1753,"Benjamin MULLER, journaliste",Journaliste,AD,AD
1754,nsp,NSP,AD,AD
1755,"Andréa BESCOND, Mathieu TUCKER",auteur/réalisateur,AD,AD
1756,"Cherif GHEMMOUR, journaliste",Journaliste,H,Cherif GHEMMOUR
1757,"Thibaud DELAVIGNE, producteur et auteur de podcasts, fondateur de l'Officine, Charlie DUPIOT, journaliste, Antoine JAUNIN, journaliste",Journaliste,AD,AD
1758,"Cyril DION, auteur, réalisateur, activiste",Activiste/associatif,AD,AD
1759,rédaction,Rédaction,H,AD
1760,Judith Duportail,auteur/réalisateur,F,Judith Duportail
1761,"Morane AUBERT, journaliste",Journaliste,AD,AD
1762,rédaction,Rédaction,AD,AD
1763,Les Cavalcades,Studio de podcast,AD,AD
1764,"Ambroise CARRIERE, fondateur d'un studio de podcast",auteur/réalisateur,AD,AD
1765,"Judith DUPORTAIL, journaliste",Journaliste,AD,AD
1766,"Pauline PAILLASSA, journaliste podcast, Les Jours",Journaliste,AD,AD
1767,"Kalindi, journaliste cinéma Mademoizelle",Journaliste,AD,AD
1768,Nolwenn Thivault,AD,F,Nolwenn Thivault
1769,AD,AD,AD,AD
1770,"Renée GREUSARD, journaliste à l'Obs",Journaliste,AD,AD
1771,"Pénélope BOEUF, fondatrice studio la toile sur écoute",auteur/réalisateur,AD,AD
1772,"Sophie IBORRA, direction de l'engagement La Tribune",amateur/concerné,F,Sophie IBORRA
1773,AD,AD,AD,AD
1774,Jérôme Cheval (concepton éditoriale) ; Leé Minod (Reportage) ; Charlène Nouyoux (Réalisation),Rédaction,F,AD
1775,Guillaume Moreau,AD,H,Guillaume Moreau
1776,"François REYNAERT, journaliste et chroniqueur l'Obs",Journaliste,AD,AD
1777,"Guillaume BERTRAND, guide-conférencier",professionnel secteur,H,Guillaume BERTRAND
1778,AD,AD,F,AD
1779,"Bruno DIVE (éditorialisate de la rédaction), Jefferson DESPORT (journaliste politique de la rédaction), Maud RIEU, journaliste de la rédaction (présentation)",Journaliste,F,Maud RIEU
1780,"udith Chétrit, réalisé par Alexandre Ferreira, produit par Joséfa Lopez pour Le Mond",Journaliste,F,AD
1781,"Le podcast est présenté par la journaliste passionnée Ghita Taghi dans une série de 4 épisodes de 30 minutes.

Un podcast créé avec Monoprix, curateur de ces vignerons et vigneronnes qui font ces vins de demain. Une sélection à retrouver chez Monoprix.",Journaliste,F,Ghita Taghi
1782,"Nicolas JAMAIN, journaliste",Journaliste,AD,AD
1783,"Florent, Studio minuit",Studio de podcast,AD,AD
1784,"Sophie FONTANEL, journaliste, écrivaine",Journaliste,AD,AD
1785,rédaction,Rédaction,AD,AD
1786,"Salim BAUNGALLY, Flora MOUSSY, journalistes, Loic MOREAU, data journaliste",Journaliste,AD,AD
1787,Flora Moussy,Journaliste,F,Flora Moussy
1788,nsp,Rédaction,F,Marine DITTA
1789,"Benoît TONSON, chef de rubrique science, Frabrice ROUSSELOT, directeur rédaction (conception)",Journaliste,AD,AD
1790,AD,Autres,AD,AD
1791,"Gérard NOIRIEL, historien",professionnel secteur,AD,AD
1792,"Lanrent TILLON, responsable biodiversité de l'Office national des forêts (ONF),rnu gonzague",Activiste/associatif,AD,AD
1793,"Lucile BELLAN, journaliste freelance",Journaliste,AD,AD
1794,"Leia SANTACROCE (animation), journaliste, Lucas WYBO, prducuteur de podcast pour Prisma, , Clara MATET, réalisatrice de podcasts pour  Prisma, Emeline FERARD, journaliste web Geo",Rédaction,AD,AD
1795,rédaction,Rédaction,AD,AD
1796,AD,AD,F,AD
1797,AD,AD,H,AD
1798,AD,AD,H,AD
1799,AD,AD,F,AD
1800,rédaction,Rédaction,AD,AD
1801,nsp,NSP,AD,AD
1802,"Thierry Henry, footballeur (présentation)",professionnel secteur,AD,AD
1803,"""en association"" avec François Pesenti, directeur RMC Sport, et MArc Loyld, résident de Eleven Content et ex directeur des productions digitales Audio et Vidéo BFM et RMC, présenté par Tony Parker",professionnel secteur,AD,AD
1804,"Gabriella, journaliste RFI",Journaliste,AD,AD
1805,rédaction,Rédaction,F,AD
1806,"Anaël PIGEAT, journaliste, critique d'art",Journaliste,AD,AD
1807,Lolita Mang,AD,F,Lolita Mang
1808,Karine Le Loët & Derya Yildiz ,auteur/réalisateur,F,Karine Le Loët & Derya Yildiz 
1809,ad,ad,ad,ad
1810,rédaction,Rédaction,F,Emilie CHAUMET
1811,"nsp, marque?",NSP,AD,AD
1812,"Alexandra CAGNARD, journaliste, productrice podcast",Journaliste,AD,AD
1813,"Benoit BOUTRON, Loic TANZI, journalistes",Journaliste,AD,AD
1814,"Benoit Boutron, Fabrice Hawkins et Mathieu Bodmer.",Journaliste,H,"Benoit Boutron, Fabrice Hawkins et Mathieu Bodmer."
1815,nsp,NSP,AD,AD
1816,"Béatrice FONTANEL, auteure",Artiste,AD,AD
1817,nsp,NSP,F,Aline
1818,"Edith Bouvier ; Céline Martelet, journalistes Grands Reporters spécialistes du Moyen-Orient",Journaliste,F,AD
1819,rédaction,Rédaction,H,Jimmy BOURSICOT
1820,nsp,NSP,AD,AD
1821,"Suzanne GERVAIS, productrice radiophonique",Autres,AD,AD
1822,"Nicolas LANSALOT, journaliste émission tv Transversales",Journaliste,AD,AD
1823,"Jérémy TROTITN, chef du service politique RMC",Journaliste,AD,AD
1824,D. GALLEY,NSP,H,AD
1825,"Charlie DUPIOT, journaliste",Journaliste,AD,AD
1826,"Jules GRANDSIRE, responsable de la communication des astronautes européens à l'ESA",professionnel secteur,AD,AD
1827,"Guillaume GIRAULT, auteur-réalisateur, Benoît THAULT, réalisateur, producteur, Richard GAITET, journaliste",auteur/réalisateur,AD,AD
1828,"Réalisé par Guillaume Girault et Benoît Thuault, avec les voix d'Imane Bounar, Alexis Breton, Isadora Dartial, Richard Gaitet, Mélanie Mallet, Sophie Marchand, Thierry Paret, Reza Pounewatchy et Bastien Stisi.

",Rédaction,H+F,"avec les voix d'Imane Bounar, Alexis Breton, Isadora Dartial, Richard Gaitet, Mélanie Mallet, Sophie Marchand, Thierry Paret, Reza Pounewatchy et Bastien Stisi."
1829,"Alexandre Morgan,","Prof, chercheurs",AD,AD
1830,"Laura TAOUCHANOV, autrice de podcast, formation journaliste (non affiliée à 20 minutes)",Journaliste,AD,AD
1831,"Stephane GENÊT, professeur d'Histoire","Prof, chercheurs",AD,AD
1832,"Sophie MARCHAND, rédac chef, Nova",Journaliste,AD,AD
1833,Sophie Marchand,Journaliste,F,Sophie Marchand
1834,Joachim Barbier ,AD,H,Joachim Barbier 
1835,AD,AD,AD,AD
1836,"Emma POTIER, brand content manager Ausha, Robin, content manager junior, Ausha",professionnel secteur,AD,AD
1837,"Marion CALAIS, journaliste",Journaliste,AD,AD
1838,Adam.M,auteur/réalisateur,H,Adam.M
1839,Camille Bichler,NSP,AD,AD
1840,AD,AD,AD,AD
1841,nsp,Journaliste,F,AD
1842,rédaction ,rédaction,AD,AD
1843,Ben,NSP,AD,AD
1844,rédaction,rédaction,AD,AD
1845,"Clément CREPU, journaliste",Journaliste,AD,AD
1846,nsp,NSP,AD,AD
1847,"Léonard ANTHONY, praticien hypnose",professionnel secteur,H,Léonard ANTHONY
1848,AD,AD,H,AD
1849,"Guillaume MEURICE, humoriste, chroniqueur",Artiste,AD,AD
1850,rédaction,Rédaction,F,Caroline BINDEL
1851,Les Cavalcades,Studio de podcast,AD,AD
1852,"Thierry WOJCIAK, rédac chef adjoit",Journaliste,H,Thierry WOJCIAK
1853,Alice Creusot,NSP,AD,AD
1854,AD,AD,AD,AD
1855,Yves Deloison,auteur/réalisateur,H,Yves Deloison
1856,rédaction sportive,Rédaction,H,Vincent MARTINELLI
1857,Cassandre,Studio de podcast,F,AD
1858,Thomas Ngijol,NSP,AD,AD
1859,rédaction,Rédaction,AD,AD
1860,"Constance VILANOVA, Gaspard WALLUT, journalistes",Journaliste,AD,AD
1861,"Thomas MOYSAN, journaliste",Journaliste,H,Thomas MOYSAN
1862,nsp,NSP,AD,AD
1863,rédaction,Rédaction,AD,AD
1864,rédaction,Rédaction,H,Edouard ODIEVRE
1865,"Véronique MORTAIGNE, journaliste et biographe de Césaria Evoria",Journaliste,AD,AD
1866,Un podcast écrit par la journaliste et biographe de Cesária Évora Véronique Mortaigne et raconté par le rappeur d'origine cap-verdienne Stomy Bugsy.,Journaliste,H,Stomy Bugsy
1867,"Latifa OULKHOUIR, directrice Bondy Blog",Activiste/associatif,AD,AD
1868,NSP,NSP,F,AD
1869,"Salomé BERLIOUX, fondatrice et directrie générale de l'association Chemins d'avenirs",Activiste/associatif,AD,AD
1870,"Valérie SIMON, rédactrice, coordinatrice du Hit",Journaliste,F,Valérie SIMON
1871,"animé et coproduit par Joséfa Lopez pour Le Monde. Réalisation : Eyeshot. Identité graphique : Mélina Zerbib. Partenariat : Sonia Jouneau, Victoire Bounine. Partenaire : Espace Mendès France.",Journaliste,F,Joséfa LOPEZ
1872,AD,AD,AD,AD
1873,AD,AD,AD,AD
1874,"Moussa N'DIAYE, enseignant SES en lycée 93","Prof, chercheurs",AD,AD
1875,nsp,NSP,AD,AD
1876,"Jean BERTHELOT DE LA GLETAIS, Anne-Charlotte DE LANGHE, Mathilde LOEUILLE, Marion RUAUD, Gabriel TAÏEB, journalistes",Journaliste,AD,AD
1877,rédaction,Rédaction,H,Frederic BONET 
1878,AD,AD,AD,AD
1879,rédaction,Rédaction,H,Matis GARDENT
1880,"Direction éditoriale : Joël Morio/« Le Monde Argent ». Reportage : Martine Abat. Réalisation et mix : François-Charles Domergue. Production : Thomas Baumgartner/wave.audio. Partenariat : Anne Le Calvé, Sonia Jouneau.",Journaliste,F,Martina B. 
1881,Gérald Ariano,Journaliste,H,Gérald Ariano
1882,rédaction,Rédaction,H,AD
1883,l'équipe de Territoires audacieux,Rédaction,F,AD
1884,"Constance DE SCHOMPRÉ, ntrepreneuse, influenceuse, maman, passionnée de sport",amateur/concerné,F,Constance DE SCHROMPRÉ
1885,rédaction,Rédaction,AD,AD
1886,"Angèle CHATELIER, journaliste",Journaliste,AD,AD
1887,nsp,Studio de podcast,AD,AD
1888,Camille RIVIECCIO,Journaliste,F,Camille RIVIECCIO
1889,"Clément LEFEBVRE, journaliste",Journaliste,H,Clément LEFEBVRE
1890,Louise Régent,auteur/réalisateur,F,Louise Régent
1891,"Un podcast présenté par Jenny Finkelstein, fondatrice du média Sisters Astro et écrit par l’astrologue professionnelle Chloé Zeitoun. A la rédaction en chef : Maud Ventura.

",professionnel secteur,F,Chloé Zeitoun
1892,Eloïse Barrège,community builder chez Ausha,F,Eloïse Barrège
1893,AD,AD,AD,AD
1894,Pierre DAYMÉ (auteur) rédac chef radio france ; Juliette MEDEVIELLE (réalisation),Journaliste,H,Pierre DAYMÉ
1895,nsp,NSP,AD,AD
1896,rédaction,Rédaction,AD,AD
1897,"Emilie DRUGEON, journaliste pigisite, Olivia VILLAMY, journaliste",Journaliste,AD,AD
1898,"Adèle HUMBERT, fondatrice Insider podcast, productrice Emilie DENÈTRE, journaliste",Journaliste,AD,AD
1899,"Adèle Humbert, Emilie Denètre",Studio de podcast,F,AD
1900,"Ambre GAUDET, (auteure), ",auteur/réalisateur,F,AD
1901,rédaction,Rédaction,AD,AD
1902,AD,Journaliste,F,AD
1903,Mickael Icard,AD,H,Mickael Icard
1904,"Maëlle LE CORRE, journaliste société Mademazoille",Journaliste,AD,AD
1905,nsp,"Prof, chercheurs",AD,AD
1906,"Muriel FLORIN, journaliste",Journaliste,F,Muriel FLORIN
1907,Hélène Assekour,auteur/réalisateur,F,Hélène Assekour
1908,Delphine et Greg,Studio de podcast,AD,AD
1909,rédaction,Rédaction,AD,AD
1910,AD,AD,AD,AD
1911,"Tâm Tran HUY, journaliste",Journaliste,AD,AD
1912,"Mahaut CHAUDOUËT-DELMAS, conseillère technique, haut conseil à l'égalité",Activiste/associatif,AD,AD
1913,rédaction,Rédaction,H+F,AD
1914,Loïc Landrau,Journaliste,H,Loïc Landreau
1915,rédaction,Rédaction,H,Martial MEHR
1916,journalistes de la rédaction,Rédaction,H,Jean-Mathieu PERNIN
1917,Patrice Gélinet,Journaliste,H,Patrice Gélinet
1918,"Elodie PETIT, Elisa CASSON, rédac chef adjointe, journaliste beauté",Journaliste,AD,AD
1919,"Jean-Michel APHATIE, journaliste",Journaliste,AD,AD
1920,"Laurence PEURON, journaliste",Journaliste,AD,AD
1921,Camille Descroix,auteur/réalisateur,F,Camille Descroix
1922,"Lola BRETON, Thierry LÉVÊQUE, journalistes",Journaliste,AD,AD
1923,rédaction,Rédaction,AD,AD
1924,Steve Jourdin,Journaliste,H,Steve Jourdin
1925,"Aïda DJOUPA, journaliste, éditrice de témoignages",Journaliste,AD,AD
1926,nsp,NSP,AD,AD
1927,nsp,NSP,AD,AD
1928,"Paul Max MORIN, docteur en science politique, Justine PEREZ, autrice et productrice de podcast 13 prods, Maxime RUIZ, auteur","Prof, chercheurs",AD,AD
1929,rédaction,Rédaction,H+F,Multiples
1930,étudiants du MC2 Panthéon-Assas,étudiant.e.s,H+F,F+H
1931,"Jeanne LACAILLE, journaliste",Journaliste,AD,AD
1932,Un podcast écrit et raconté par Jeanne Lacaille et produit par Benoit Thuault.,Journaliste,F,Jeanne Lacaille
1933, Prises de son : Pierre Costard & Félix Blume - Réalisation & mixage : Félix Blume,auteur/réalisateur,H, Prises de son : Pierre Costard & Félix Blume - Réalisation & mixage : Félix Blume
1934,rédaction,Rédaction,AD,AD
1935,rédaction,Rédaction,H,AD
